"","Ailuropoda_melanoleuca","Bos_taurus","Colobus_angolensis_palliatus","Cebus_capucinus_imitator","Canis_familiaris","Capra_hircus","Callithrix_jacchus","Chinchilla_lanigera","Cavia_porcellus","Dasypus_novemcinctus","Equus_asinus_asinus","Equus_caballus","Felis_catus","Gorilla_gorilla","Heterocephalus_glaber","Homo_sapiens","Ictidomys_tridecemlineatus","Loxodonta_africana","Monodelphis_domestica","Macaca_fascicularis","Myotis_lucifugus","Macaca_mulatta","Microcebus_murinus","Mus_musculus","Microtus_ochrogaster","Mustela_putorius_furo","Meriones_unguiculatus","Nomascus_leucogenys","Neovison_vison","Ovis_aries","Oryctolagus_cuniculus","Octodon_degus","Otolemur_garnettii","Papio_anubis","Phascolarctos_cinereus","Peromyscus_maniculatus_bairdii","Pan_paniscus","Panthera_pardus","Pan_troglodytes","Rattus_norvegicus","Saimiri_boliviensis_boliviensis","Sus_scrofa","Tursiops_truncatus","Vombatus_ursinus","Vulpes_vulpes"
"PTHR10037_SF189",1,1,3,2,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,0,1,2,1,1,1,1,3,1,1,1,0,1,1
"PTHR10037_SF200",1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2
"PTHR10037_SF22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10037_SF28",1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1
"PTHR10044_SF79",2,3,2,2,2,2,2,2,2,1,2,1,1,2,4,2,3,2,4,2,2,2,1,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,1,2,1,2
"PTHR10046",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10048_SF15",1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1
"PTHR10048_SF35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10048_SF54",1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"PTHR10052",1,3,9,3,2,3,4,3,2,0,2,1,3,5,1,1,1,1,1,6,1,4,1,1,6,1,1,6,2,1,1,8,1,7,8,3,6,3,9,2,5,2,1,7,4
"PTHR10055",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10057",2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2
"PTHR10060_SF15",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,2,1
"PTHR10060_SF19",2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2
"PTHR10061",1,1,2,2,1,2,3,1,1,1,2,2,2,1,3,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,2,6,2,2,1,1,1,2,1,2,2,1,1,2,1
"PTHR10063",3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
"PTHR10064_SF1",2,7,1,2,1,5,3,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,1,2,2,2,3,3,5,1,2,2,2,2,1,2,3,5,2,1,1,1
"PTHR10064_SF2",2,1,5,7,4,3,3,1,1,1,1,1,2,9,3,2,2,1,1,6,0,2,6,1,2,3,6,3,6,1,1,9,1,5,6,6,6,3,8,1,5,3,1,3,2
"PTHR10066_SF51",1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
"PTHR10067",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"PTHR10068",2,5,2,2,2,2,2,2,3,2,4,11,2,2,1,3,2,1,3,2,2,2,1,2,2,1,2,2,1,4,2,2,3,2,2,2,2,0,2,2,2,3,2,3,2
"PTHR10071_SF150",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"PTHR10072_SF41",1,2,4,1,1,1,3,2,3,2,1,2,1,2,2,1,1,1,1,2,1,2,4,2,1,1,1,4,1,2,1,5,1,4,1,3,3,1,4,1,3,2,1,1,1
"PTHR10073_SF9",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1
"PTHR10075_SF12",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"PTHR10078",6,9,8,8,7,8,7,8,13,5,8,10,5,9,7,8,9,7,9,8,8,8,7,7,7,6,8,6,6,9,6,5,8,8,9,7,6,6,6,7,8,9,5,8,7
"PTHR10082",9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,10,9,9,8,9,9,9,9,10,10,9,10,9,9,9,9,9,9,9,9,10,9,8,10,8,9,9,9,10,10
"PTHR10083_SF204",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10093_SF3",1,2,1,1,2,1,4,1,1,2,3,2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,1,2,0,1,1,1,1,2,2,1,1,1,1,1,3
"PTHR10098_SF99",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,7,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1
"PTHR10104",5,7,5,6,5,7,8,6,6,7,5,5,6,5,6,5,6,6,5,5,5,5,5,5,5,6,6,5,5,6,5,11,5,5,6,6,5,5,6,5,5,5,4,8,5
"PTHR10106",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PTHR10108_SF734",2,3,0,1,1,2,3,1,1,2,2,2,1,1,1,1,1,1,0,1,2,1,1,4,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1
"PTHR10110_SF94",2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2
"PTHR10113",1,1,3,3,2,2,2,2,1,1,2,1,1,2,5,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,4,1,1,1,1,1,1
"PTHR10114_SF1",1,5,4,10,2,3,2,5,2,2,2,1,2,3,4,1,2,1,2,5,2,2,2,2,8,3,2,3,1,3,4,31,4,6,3,3,2,2,5,12,6,1,1,1,3
"PTHR10117",7,7,7,7,7,8,7,7,7,8,8,7,7,7,8,6,7,7,7,7,6,6,7,8,6,8,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7
"PTHR10119_SF17",1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1
"PTHR10122_SF0",2,2,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,2,1,1,2,2,1,1,2,2,1,1,2,1,3,3,1,1,3,2,2,1,2,1,4,2
"PTHR10125",8,7,7,8,7,7,7,7,7,6,9,8,9,7,7,8,7,7,8,7,7,7,7,7,7,7,7,8,7,7,7,7,6,7,8,7,7,7,8,7,7,7,7,8,8
"PTHR10126_SF13",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2
"PTHR10127_SF304",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10127_SF312",2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,3,2
"PTHR10127_SF4",5,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,3,0,1,5,1,1,1,1,2,1,1,1,5,1,0,2,1,1,1,1,1,1,0,1,1,1,2,2
"PTHR10127_SF405",1,1,1,2,1,3,1,1,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2
"PTHR10127_SF50",2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"PTHR10127_SF560",2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,3,1,2,1,2,2,1,1,2,2,1,3,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
"PTHR10127_SF565",2,2,1,1,1,3,1,1,4,3,3,1,1,1,1,1,4,2,3,1,2,1,1,1,3,2,3,1,1,1,1,3,2,1,3,1,1,2,1,1,1,1,1,3,3
"PTHR10127_SF571",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10127_SF593",1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR10132",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2
"PTHR10134",1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,2,0,2,1,1,1,0,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"PTHR10136",1,2,2,1,2,1,2,1,1,1,1,4,2,2,1,4,2,2,0,2,0,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,0,1,2
"PTHR10137",2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,3,2
"PTHR10151_SF63",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1
"PTHR10153",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,5,4
"PTHR10155_SF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10157",3,4,2,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,4,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,2,3,2,3,3,4,3
"PTHR10159_SF108",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"PTHR10159_SF113",1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,3,2,1,1,1,3,1,1,1,2,1
"PTHR10159_SF29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
"PTHR10159_SF299",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"PTHR10159_SF305",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,1,1,0,1,1,1
"PTHR10164",2,2,2,2,2,2,3,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2
"PTHR10165_SF25",2,1,1,7,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"PTHR10173_SF11",1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,2,1,1,1,1,1,0,1,2,1,1,1,3,0,2,1,1,2,2,2,1,1,1,1,1,1
"PTHR10173_SF18",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10176",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10177_SF187",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10177_SF193",2,2,2,2,5,3,2,1,2,4,1,1,2,1,4,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,1,6,5,1,1,2,1,1,1,1,3,1,1,1,4
"PTHR10177_SF59",1,2,1,3,1,1,1,5,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,2,1,2,4,2,1,1,1,1,1,1,1,2,3
"PTHR10177_SF60",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10177_SF65",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1
"PTHR10177_SF69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,7,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,1,2,1
"PTHR10177_SF70",1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10179_SF13",1,3,1,0,0,3,1,1,1,1,2,1,1,0,1,0,2,1,0,3,3,2,1,3,2,2,2,0,0,3,3,1,3,3,2,3,1,0,1,3,0,1,2,1,1
"PTHR10182",2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10183_SF139",2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,3,2,2,2,2,2,2
"PTHR10183_SF22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10183_SF277",1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,4
"PTHR10183_SF286",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1
"PTHR10183_SF37",1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"PTHR10183_SF38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2,1
"PTHR10185",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3
"PTHR10188",3,3,3,3,3,3,3,2,3,4,4,4,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
"PTHR10190",4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6,4
"PTHR10194_SF4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1
"PTHR10196",6,7,6,5,6,8,7,5,5,7,6,6,7,6,5,8,5,6,7,7,6,7,6,7,6,7,8,6,7,7,7,7,6,7,6,7,7,7,10,7,6,6,5,5,6
"PTHR10199_SF10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"PTHR10201_SF127",2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,0,1,1,1,1,1,2,1,3,1,1,1,1,1
"PTHR10201_SF20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1
"PTHR10201_SF38",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1
"PTHR10206_SF0",1,10,1,1,1,8,1,0,1,2,3,4,1,1,1,1,1,2,8,1,5,1,1,1,1,1,1,1,1,8,2,1,1,1,4,1,1,1,1,1,1,4,2,6,1
"PTHR10210",5,5,5,5,7,9,8,5,5,8,4,6,6,5,10,5,4,5,8,6,7,5,6,6,5,6,5,5,6,8,3,7,5,6,4,6,5,7,5,7,6,5,4,4,7
"PTHR10217_SF377",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10217_SF378",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR10217_SF473",1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,5,1,2,1,1,1,1
"PTHR10218_SF130",1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10218_SF131",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,2,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,2,1
"PTHR10218_SF173",2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,3,2
"PTHR10218_SF36",1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10218_SF73",1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10218_SF81",1,1,1,1,0,1,2,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,1,1,1,1
