X,MLSP_Ei_1,MLSP_Ei_2,MLSP_Ei_3,MLSP_Ei_4,MLSP_Ei_5,MLSP_Ei_6,MLSP_Ei_7,MLSP_Ei_8,MLSP_Ei_9,MLSP_Ei_10,MLSP_Ei_11,MLSP_Ei_12,MLSP_Ei_13,MLSP_Ei_14,MLSP_Ei_15
heart development,NA,NA,NA,NA,NA,NA,4.4702221603257e-09,NA,NA,NA,NA,1.00728394337291e-06,1.3214491317897e-05,NA,NA
immune response,NA,NA,NA,NA,NA,1.44174173458128e-12,NA,NA,NA,NA,1.94902575509488e-87,3.78850415074379e-22,1.3214491317897e-05,5.39226266138088e-88,NA
immune response-regulating signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36328227979197e-269,NA,NA,1.34631801901607e-244,NA
in utero embryonic development,NA,NA,NA,NA,NA,NA,NA,0.045732973,NA,0.018133355,NA,0.00484943,0.000416744,NA,NA
inflammatory response,NA,NA,NA,NA,NA,1.46447628195788e-08,NA,NA,NA,NA,0.00020194,4.58899571308225e-42,4.85343553252297e-13,1.60216169571683e-05,NA
innate immune response,1.89900535412203e-06,NA,6.22313818592945e-08,NA,NA,1.53394455031146e-05,NA,NA,NA,NA,0.01618267,NA,0.040232829,0.002923508,NA
intracellular signal transduction,NA,NA,NA,NA,NA,NA,NA,0.001395755,NA,NA,NA,NA,1.91377155844585e-22,NA,NA
lipid metabolic process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000120097,NA,NA
lipid transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14908027737217e-05,0.003846849,NA,NA
monoatomic ion transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024656051,NA,NA
mRNA processing,NA,NA,NA,NA,NA,NA,NA,0.014900749,NA,NA,NA,NA,NA,NA,NA
negative regulation of apoptotic process,NA,NA,NA,NA,NA,NA,8.11370884362138e-39,1.24598400117829e-07,NA,NA,NA,0.010654695,1.14792533909426e-17,NA,NA
negative regulation of cell population proliferation,NA,NA,NA,NA,NA,NA,4.57089758098716e-07,3.45293283976917e-08,NA,NA,NA,0.000473335,1.69604780709736e-15,NA,NA
negative regulation of DNA-templated transcription,NA,NA,NA,NA,NA,NA,NA,5.83024954377152e-11,NA,0.018133355,NA,9.57674231029934e-07,0.000416744,NA,NA
negative regulation of gene expression,NA,NA,NA,NA,NA,NA,1.15706619938658e-05,1.25482583194158e-42,0.041264951,NA,NA,6.55290074690123e-34,8.27151286351927e-29,NA,NA
negative regulation of transcription by RNA polymerase II,NA,NA,NA,NA,NA,NA,0.029596284,2.08465205435249e-37,0.000590949,NA,NA,1.14908027737217e-05,2.36023752358542e-06,NA,NA
nervous system development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74471281297061e-07,NA,NA
neuron differentiation,NA,NA,NA,NA,NA,NA,NA,0.000678079,NA,NA,NA,NA,1.65417921493479e-07,NA,NA
positive regulation of apoptotic process,0.010199307,NA,0.016274126,NA,NA,NA,2.48556621544261e-75,NA,NA,NA,NA,1.31658728303583e-16,1.77021093968578e-08,NA,NA
positive regulation of canonical NF-kappaB signal transduction,8.72505657514892e-14,NA,1.92262154875717e-12,NA,NA,NA,1.98348091397883e-17,0.044245297,NA,NA,0.005160353,9.54914389359372e-20,2.78857168496965e-07,0.04054805,NA
positive regulation of cell migration,NA,NA,NA,NA,NA,NA,NA,0.001174786,NA,NA,5.70705317925668e-09,4.8466575945187e-06,5.40622913367603e-23,7.09010488550412e-08,NA
positive regulation of cell population proliferation,NA,NA,NA,NA,NA,NA,NA,2.76981499718509e-06,NA,NA,NA,NA,8.81579697476152e-23,NA,NA
positive regulation of DNA-templated transcription,0.036795325,NA,0.039863132,NA,NA,NA,0.036146648,3.11470238206596e-14,0.011082669,NA,NA,2.64978566740013e-13,1.48391949997534e-14,NA,NA
positive regulation of ERK1 and ERK2 cascade,NA,NA,NA,NA,NA,NA,NA,0.002074658,NA,NA,NA,4.04531556621076e-78,1.48709230148091e-25,NA,NA
positive regulation of gene expression,NA,NA,NA,NA,NA,NA,NA,1.11572213443817e-36,NA,NA,NA,3.59007026425251e-21,1.37900721930608e-09,NA,NA
positive regulation of MAPK cascade,NA,NA,NA,NA,NA,NA,NA,1.66936930356167e-09,NA,NA,NA,3.67922109354666e-40,5.62499155631481e-09,NA,NA
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,NA,NA,NA,NA,NA,NA,NA,NA,0.001325142,NA,0.035502538,7.50864755199662e-48,1.1292967172262e-10,NA,NA
positive regulation of transcription by RNA polymerase II,NA,NA,NA,NA,NA,NA,NA,1.59786867015912e-24,NA,NA,NA,9.14052739060734e-08,1.56345391848489e-26,NA,NA
proteasome-mediated ubiquitin-dependent protein catabolic process,NA,NA,NA,NA,NA,NA,NA,2.40950721757629e-05,NA,NA,NA,NA,NA,NA,NA
protein phosphorylation,0.021772102,NA,0.040289912,NA,NA,NA,NA,1.18297208228368e-28,NA,NA,NA,NA,2.02674228581542e-43,NA,NA
protein stabilization,NA,0.006459761,NA,NA,NA,NA,NA,4.50548023878504e-07,NA,0.018133355,NA,NA,5.877006551751e-07,NA,0.001448156
protein ubiquitination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026192098,NA,NA,NA,NA
regulation of apoptotic process,0.000251003,NA,0.000649497,NA,NA,NA,6.58230316102406e-183,8.85494729738208e-05,NA,NA,NA,NA,1.62902141914861e-10,NA,NA
regulation of cell cycle,NA,NA,NA,NA,NA,NA,4.25608205225573e-25,1.39557455592051e-19,NA,0.018133355,NA,NA,1.6922689069634e-20,NA,NA
regulation of DNA-templated transcription,NA,NA,NA,NA,NA,NA,NA,8.31347470607006e-14,NA,NA,NA,NA,8.50839246062167e-05,NA,NA
regulation of gene expression,NA,NA,NA,NA,NA,NA,NA,3.26135674558974e-23,1.6161226675084e-07,NA,NA,NA,6.53252532516038e-07,NA,NA
regulation of transcription by RNA polymerase II,NA,NA,NA,NA,NA,NA,NA,6.58128004325201e-23,NA,NA,NA,NA,0.000288701,NA,NA
response to xenobiotic stimulus,NA,NA,NA,NA,NA,NA,3.57715032800456e-12,8.85494729738208e-05,5.11062913162166e-05,1.8773785095178e-09,NA,5.47730405956787e-11,1.16232839465753e-16,NA,NA
signal transduction,NA,NA,NA,NA,NA,NA,NA,1.49718237373686e-06,NA,NA,NA,0.018226634,4.89102645690789e-15,NA,NA
spermatogenesis,NA,NA,NA,NA,NA,NA,2.27700317977223e-09,0.011573921,NA,NA,NA,NA,NA,NA,NA
spliceosomal tri-snRNP complex assembly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12763184173906e-12,NA,NA,6.01357745639142e-11,NA
transcription by RNA polymerase II,NA,NA,NA,NA,NA,NA,NA,1.9938476148492e-06,NA,4.55651290327379e-64,NA,NA,3.36107137205201e-06,NA,NA
transmembrane transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009927271,NA,NA
ubiquitin-dependent protein catabolic process,NA,NA,NA,NA,NA,NA,NA,NA,0.041264951,NA,NA,NA,NA,NA,NA
Wnt signaling pathway,NA,NA,NA,NA,NA,NA,NA,4.89716499627416e-05,NA,NA,NA,NA,NA,NA,NA
